imageUrl,Name,Price,Author,page
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/08/9780061336454.jpg?resize=450%2C600&ssl=1,Secrets of the Millionaire Mind,235.00,,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/08/9789923120804.png?resize=450%2C600&ssl=1,Empowering Women Through Cooking,500.00,Batool Jamous,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/08/9783981812862.jpg?resize=450%2C600&ssl=1,Sema Tawy,650.00,Bruno Sandkuhler,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/08/9780805031492.jpg?resize=450%2C600&ssl=1,Escape from Freedom,445.00,Erich Fromm,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781839031175.jpg?resize=450%2C600&ssl=1,Disney Alice In Wonderland: Un,290.00,Igloo Books,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781839030680.jpg?resize=450%2C600&ssl=1,Disney Frozen: Let It Go,290.00,Igloo Books,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781974725151.jpg?resize=450%2C600&ssl=1,Dr. Stone 19,270.00,Riichiro Inagaki,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781925924664.jpg?resize=450%2C600&ssl=1,Pure Magic Oracle,575.00,"Andres Engracia, Olivia Burki",1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781925429992.jpg?resize=450%2C600&ssl=1,Making Magick Oracle,575.00,Priestess Moon,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781925429930.jpg?resize=450%2C600&ssl=1,Angel Reading Cards,575.00,Debbie Malone,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781913097257.jpg?resize=450%2C600&ssl=1,Drive your Plow over the Bones,300.00,Olga Tokarczuk,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781913068219-e1661077136956.jpg?resize=450%2C600&ssl=1,That Will Never Work,325.00,Marc Randolph,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781684033881.jpg?resize=450%2C600&ssl=1,Raising Good Humans,410.00,Hunter Clarke-Fields,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781649031228.jpg?resize=450%2C600&ssl=1,Childhood in Ancient Egypt,975.00,Amandine Marshall,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529409093.jpg?resize=450%2C600&ssl=1,The Road Trip,300.00,Beth O'Leary,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529393255-scaled.jpg?resize=450%2C600&ssl=1,Happy Sexy Millionaire,465.00,Steven Bartlett,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529385083.jpg?resize=450%2C600&ssl=1,Billion Dollar Loser,325.00,Reeves Wiedeman,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529384796.jpg?resize=450%2C600&ssl=1,The Bezos Letters,355.00,Steve Anderson,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529374803.jpg?resize=450%2C600&ssl=1,28 Summers,300.00,Elin Hilderbrand,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529370454.jpg?resize=450%2C600&ssl=1,The 80/20 Principle,465.00,Richard Koch,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529352566.jpg?resize=450%2C600&ssl=1,The Deficit Myth,355.00,Stephanie Kelton,1
https://i0.wp.com/diwanegypt.com/wp-content/uploads/2022/07/9781529350524-scaled.jpg?resize=450%2C600&ssl=1,Kingdom Of The Cursed,465.00,Kerri Maniscalco,1
